manufacturer,model
"BOEING","767-300"
"BOEING","767-400"
"BOEING","777-200"
"BOEING","777-200ER"
"BOEING","777-200LR"
"BOEING","777-200LR BBJ"
"BOEING","777-300"
"BOEING","777-300ER"
"BOEING","777-300ER BBJ"
"BOEING","777-8"
"BOEING","777-9"
"BOEING","777-F"
"BOEING","787-10 Dreamliner"
"BOEING","787-8 BBJ"
"BOEING","787-8 Dreamliner"
"BOEING","787-9 BBJ"
"BOEING","787-9 Dreamliner"
"BOEING","AH-64"
"BOEING","AH-64 Saraf"
"BOEING","AV-8"
"BOEING","B-17"
"BOEING","B-29"
"BOEING","B-52"
"BOEING","BBJ3"
"BOEING","BTX-1"
"BOEING","C-135FR"
"BOEING","C-137"
"BOEING","C-17"
"BOEING","C-18"
"BOEING","C-22"
"BOEING","C-32"
"BOEING","C-40"
"BOEING","C-97"
"BOEING","CC-177 Globemaster 3"
"BOEING","CH-47"
"BOEING","CT-43"
"BOEING","Dreamlifter"
"BOEING","Dreamliner (Srs.10)"
"BOEING","Dreamliner (Srs.8)"
"BOEING","Dreamliner (Srs.9)"
"BOEING","E-3A (CFM56)"
"BOEING","E-3A (TF33)"
"BOEING","E-3B"
"BOEING","E-3C"
"BOEING","E-3D"
"BOEING","E-3F"
"BOEING","E-4"
"BOEING","E-6"
"BOEING","E-767"
"BOEING","E-8"
"BOEING","EA-18 Growler"
"BOEING","EC-137"
"BOEING","EC-18"
"BOEING","F-15"
"BOEING","F-15 Slam Eagle"
"BOEING","FA-18C Hornet"
"BOEING","FA-18D Hornet"
"BOEING","FA-18E Super Hornet"
"BOEING","FA-18F Super Hornet"
"BOEING","Growler"
"BOEING","HH-47"
"BOEING","Hornet"
"BOEING","JCH-47 Chinook"
"BOEING","JE-3"
"BOEING","KC-135E"
"BOEING","KC-135R"
"BOEING","KC-135T"
"BOEING","KC-137"
"BOEING","KC-46 Pegasus"
"BOEING","KC-767"
"BOEING","KE-3"
"BOEING","MD-10"
"BOEING","MD-11"
"BOEING","MD-500"
"BOEING","MD-520N"
"BOEING","MD-530F"
"BOEING","MD-530MG"
"BOEING","MD-600N"
"BOEING","MD-81"
"BOEING","MD-82"
"BOEING","MD-83"
"BOEING","MD-87"
"BOEING","MD-88"
"BOEING","MD-90"
"BOEING","MD-902"
"BOEING","MH-47"
"BOEING","MQ-25 Stingray"
"BOEING","N2S"
"BOEING","NC-135"
"BOEING","NEA-18 Growler"
"BOEING","P-8 Poseidon"
"BOEING","Poseidon"
"BOEING","PT-13"
"BOEING","PT-17"
"BOEING","PT-18"
"BOEING","PT-27"
"BOEING","RC-135"
"BOEING","RC-135 Airseeker"
"BOEING","Slam Eagle"
"BOEING","Super 27 (100)"
"BOEING","Super 27 (200)"
"BOEING","Super Hornet"
"BOEING","T-45"
"BOEING","T-7"
"BOEING","TC-135"
"BOEING","VC-25"
"BOEING","VC-96"
"BOEING","WC-135R"
"BOEING","WC-135W"
"BOEING","YL-15"
"BOMBARDIER","BD-100"
"BOMBARDIER","BD-100 Challenger 350"
"BOMBARDIER","BD-500 CSeries CS100"
"BOMBARDIER","BD-500 CSeries CS300"
"BOMBARDIER","BD-700"
"BOMBARDIER","BD-700 Global 7000"
"BOMBARDIER","BD-700 Sentinel"
"BOMBARDIER","Challenger 350"
"BOMBARDIER","Challenger 650"
"BOMBARDIER","CL-600 "
"BOMBARDIER","CL-600 Challenger 650"
"BOMBARDIER","CL-600 Regional Jet "
"BOMBARDIER","CS100"
"BOMBARDIER","CS300"
"BOMBARDIER","CSeries CS100"
"BOMBARDIER","CSeries CS300"
"BOMBARDIER","E-11"
"BOMBARDIER","Global 6000"
"BOMBARDIER","Global 7000"
"BOMBARDIER","Regional Jet CRJ-1000"
"CESSNA","120"
"CESSNA","140"
"CESSNA","150"
"CESSNA","152"
"CESSNA","162 Skycatcher"
"CESSNA","170"
"CESSNA","172"
"CESSNA","172RG"
"CESSNA","175"
"CESSNA","177"
"CESSNA","177RG"
"CESSNA","180"
"CESSNA","182"
"CESSNA","185"
"CESSNA","188"
"CESSNA","190"
"CESSNA","195"
"CESSNA","205"
"CESSNA","206"
"CESSNA","206 (turbine)"
"CESSNA","207"
"CESSNA","207 (turbine)"
"CESSNA","208"
"CESSNA","208 Caravan 675"
"CESSNA","210"
"CESSNA","305"
"CESSNA","310"
"CESSNA","318A"
"CESSNA","318B"
"CESSNA","318C"
"CESSNA","318D"
"CESSNA","318E"
"CESSNA","320"
"CESSNA","321"
"CESSNA","335"
"CESSNA","336"
"CESSNA","337"
"CESSNA","340"
"CESSNA","350"
"CESSNA","350 Corvalis"
"CESSNA","400"
"CESSNA","400 Corvalis TT"
"CESSNA","401"
"CESSNA","402"
"CESSNA","402 (turbine)"
"CESSNA","404"
"CESSNA","404 (turbine)"
"CESSNA","408 SkyCourier"
"CESSNA","411"
"CESSNA","414"
"CESSNA","414 (turbine)"
"CESSNA","421"
"CESSNA","421 (turbine)"
"CESSNA","425"
"CESSNA","441"
"CESSNA","500"
"CESSNA","501"
"CESSNA","510"
"CESSNA","525"
"CESSNA","525 Citation M2"
"CESSNA","525A"
"CESSNA","525B"
"CESSNA","525C Citation CJ4"
"CESSNA","550"
"CESSNA","550B Citation Bravo"
"CESSNA","551"
"CESSNA","560"
"CESSNA","560XL"
"CESSNA","650"
"CESSNA","680"
"CESSNA","680A Citation Latitude"
"CESSNA","700 Citation Longitude"
"CESSNA","750"
"CESSNA","A-37"
"CESSNA","A150"
"CESSNA","A152"
"CESSNA","A185"
"CESSNA","A188"
"CESSNA","AC-208 Combat Caravan"
"CESSNA","AT-17"
"CESSNA","AT-8"
"CESSNA","AW"
"CESSNA","C-145"
"CESSNA","C-165"
"CESSNA","C-34"
"CESSNA","C-37"
"CESSNA","C-38"
"CESSNA","C-98"
"CESSNA","Caravan 675"
"CESSNA","Citation Bravo"
"CESSNA","Citation CJ4"
"CESSNA","Citation Latitude"
"CESSNA","Citation Longitude"
"CESSNA","Citation M2"
"CESSNA","Combat Caravan"
"CESSNA","Corvalis"
"CESSNA","Corvalis TT"
"CESSNA","Corvalis TTx"
"CESSNA","DC-6"
"CESSNA","E350"
"CESSNA","E530 Scorpion"
"CESSNA","F406"
"CESSNA","L-19"
"CESSNA","L-27"
"CESSNA","LC-126"
"CESSNA","LC-41"
"CESSNA","LC-41 Corvalis TT"
"CESSNA","LC-42"
"CESSNA","LC-42 Corvalis"
"CESSNA","M337"
"CESSNA","MC337"
"CESSNA","NGP"
"CESSNA","O-1"
"CESSNA","O-2"
"CESSNA","OA-37"
"CESSNA","OE"
"CESSNA","OT-47"
"CESSNA","P172"
"CESSNA","P206"
"CESSNA","P210"
"CESSNA","P210 (turbine)"
"CESSNA","P337"
"CESSNA","R172"
"CESSNA","R182"
"CESSNA","S550"
"CESSNA","Skycatcher"
"CESSNA","Stationair TC"
"CESSNA","T-37"
"CESSNA","T-41"
"CESSNA","T-50"
"CESSNA","T-51"
"CESSNA","T182 Turbo Skylane"
"CESSNA","T188"
"CESSNA","T206 Stationair TC"
"CESSNA","T206 Turbo Stationair"
"CESSNA","T207"
"CESSNA","T210 Turbo Centurion"
"CESSNA","T240 Corvalis TTx"
"CESSNA","T240 TTx"
"CESSNA","T303"
"CESSNA","T310"
"CESSNA","T337B"
"CESSNA","T337C"
"CESSNA","T337D"
"CESSNA","T337E"
"CESSNA","T337F"
"CESSNA","T337G"
"CESSNA","T337H"
"CESSNA","TL-19"
"CESSNA","TO-1"
"CESSNA","TP206 Turbo Super Skylane"
"CESSNA","TR182 Turbo Skylane RG"
"CESSNA","TTx"
"CESSNA","TU206 Turbo Skywagon 206"
"CESSNA","TU206 Turbo Stationair"
"CESSNA","TU206 Turbo Stationair 6"
"CESSNA","TU206 Turbo Super Skywagon"
"CESSNA","Turbo Centurion"
"CESSNA","Turbo Skylane"
"CESSNA","Turbo Skylane RG"
"CESSNA","Turbo Skywagon 206"
"CESSNA","Turbo Stationair"
"CESSNA","Turbo Stationair 6"
"CESSNA","Turbo Super Skylane"
"CESSNA","Turbo Super Skywagon"
"CESSNA","U-17A"
"CESSNA","U-17B"
"CESSNA","U-17C"
"CESSNA","U-27"
"CESSNA","U-3"
"CESSNA","U206"
"CESSNA","UC-35"
"CESSNA","UC-35 Citation Encore"
"CESSNA","UC-78"
"EMBRAER","170"
"EMBRAER","175 (long wing)"
"EMBRAER","175 (short wing)"
"EMBRAER","190"
"EMBRAER","195"
"EMBRAER","A-1"
"EMBRAER","A-27"
"EMBRAER","A-29"
"EMBRAER","AMX"
"EMBRAER","AT-26"
"EMBRAER","AT-29"
"EMBRAER","C-390"
"EMBRAER","C-95"
"EMBRAER","C-99"
"EMBRAER","Corisco 2 Turbo"
"EMBRAER","E-99"
"EMBRAER","E175-E2"
"EMBRAER","E190-E2"
"EMBRAER","E195-E2"
"EMBRAER","EC-9"
"EMBRAER","EC-95"
"EMBRAER","EMB-110"
"EMBRAER","EMB-111"
"EMBRAER","EMB-120"
"EMBRAER","EMB-121"
"EMBRAER","EMB-135BJ Legacy"
"EMBRAER","EMB-135BJ Legacy 600"
"EMBRAER","EMB-135BJ Legacy 650"
"EMBRAER","EMB-135ER"
"EMBRAER","EMB-135KE"
"EMBRAER","EMB-135KL"
"EMBRAER","EMB-135LR"
"EMBRAER","EMB-145AEW&C"
"EMBRAER","EMB-145EP"
"EMBRAER","EMB-145ER"
"EMBRAER","EMB-145EU"
"EMBRAER","EMB-145LR"
"EMBRAER","EMB-145LU"
"EMBRAER","EMB-145MP"
"EMBRAER","EMB-145MP/ASW"
"EMBRAER","EMB-145RS"
"EMBRAER","EMB-145SA"
"EMBRAER","EMB-145SM"
"EMBRAER","EMB-145XR"
"EMBRAER","EMB-200"
"EMBRAER","EMB-201"
"EMBRAER","EMB-202"
"EMBRAER","EMB-203"
"EMBRAER","EMB-312"
"EMBRAER","EMB-312F"
"EMBRAER","EMB-312H"
"EMBRAER","EMB-314"
"EMBRAER","EMB-326"
"EMBRAER","EMB-390"
"EMBRAER","EMB-500 Phenom 100"
"EMBRAER","EMB-505 Phenom 300"
"EMBRAER","EMB-545 Legacy 450"
"EMBRAER","EMB-545 Praetor 500"
"EMBRAER","EMB-550 Legacy 500"
"EMBRAER","EMB-550 Praetor 600"
"EMBRAER","EMB-710"
"EMBRAER","EMB-711B"
"EMBRAER","EMB-711C"
"EMBRAER","EMB-711ST Corisco 2 Turbo"
"EMBRAER","EMB-711T"
"EMBRAER","EMB-712"
"EMBRAER","EMB-720"
"EMBRAER","EMB-721"
"EMBRAER","EMB-810"
"EMBRAER","EMB-820"
"EMBRAER","ERJ-135"
"EMBRAER","ERJ-140"
"EMBRAER","ERJ-145EP"
"EMBRAER","ERJ-145ER"
"EMBRAER","ERJ-145EU"
"EMBRAER","ERJ-145LR"
"EMBRAER","ERJ-145LU"
"EMBRAER","ERJ-145MP"
"EMBRAER","ERJ-145XR"
"EMBRAER","ERJ-170-100"
"EMBRAER","ERJ-170-200 (long wing)"
"EMBRAER","ERJ-170-200 (short wing)"
"EMBRAER","ERJ-190"
"EMBRAER","ERJ-190-100"
"EMBRAER","ERJ-190-200"
"EMBRAER","ERJ-190-300"
"EMBRAER","ERJ-190-400"
"EMBRAER","ERJ-190-500"
"EMBRAER","KC-390"
"EMBRAER","Legacy 600"
"EMBRAER","Legacy 650"
"EMBRAER","P-95"
"EMBRAER","PA-25"
"EMBRAER","PA-32RT-300"
"EMBRAER","Phenom 100"
"EMBRAER","Phenom 300"
"EMBRAER","R-95"
"EMBRAER","R-99"
"EMBRAER","RT-26"
"EMBRAER","SC-95"
"EMBRAER","T-27"
"EMBRAER","U-19"
"EMBRAER","U-7"
"EMBRAER","VC-97"
"EMBRAER","VC-99A"
"EMBRAER","VC-99B Legacy"
"EMBRAER","VC-99B Legacy 600"
"EMBRAER","VC-99C"
"EMBRAER","VU-9"
"EMBRAER","YA-29"
"SUKHOI","J-11"
"SUKHOI","JJ-11"
"SUKHOI","S-37"
"SUKHOI","Su-17"
"SUKHOI","Su-20"
"SUKHOI","Su-22"
"SUKHOI","Su-24"
"SUKHOI","Su-25"
"SUKHOI","Su-26"
"SUKHOI","Su-27"
"SUKHOI","Su-28"
"SUKHOI","Su-29"
"SUKHOI","Su-30"
"SUKHOI","Su-31"
"SUKHOI","Su-32"
"SUKHOI","Su-33"
"SUKHOI","Su-34"
"SUKHOI","Su-35"
"SUKHOI","Su-37"
"SUKHOI","Su-38"
"SUKHOI","Su-39"
"SUKHOI","Su-47"
"SUKHOI","Su-57"
"SUKHOI","Su-7"
"SUKHOI","Su-80"
"SUKHOI","Superjet 100-95"
"SUKHOI","T-50"
