iata_code,name,city
"AIZ","Lee C Fine Memorial Airport","Kaiser Lake Ozark"
"AJF","Al-Jawf Domestic Airport","Al-Jawf"
"AJJ","Akjoujt Airport","Akjoujt"
"AJK","Arak Airport","Araak"
"AJN","Ouani Airport","Ouani"
"AKC","Akron Fulton International Airport","Akron"
"AKD","Akola Airport","Akola"
"AKF","Kufra Airport","Kufra"
"AKG","Anguganak Airport","Anguganak"
"AKI","Akiak Airport","Akiak"
"AKM","Zakuoma Airport","ZaKouma"
"AKN","King Salmon Airport","King Salmon"
"AKO","Colorado Plains Regional Airport","Akron"
"AKR","Akure Airport","Akure"
"ALD","Alerta Airport","Fortaleza"
"ALG","Houari Boumediene Airport","Algiers"
"ALI","Alice International Airport","Alice"
"ALJ","Alexander Bay Airport","Alexander Bay"
"ALR","Alexandra Airport","Alexandra"
"ALS","San Luis Valley Regional Bergman Field","Alamosa"
"ALU","Alula Airport","Alula"
"ALW","Walla Walla Regional Airport","Walla Walla"
"AMD","Sardar Vallabhbhai Patel International Airport","Ahmedabad"
"AMI","Selaparang Airport","Mataram-Lombok Island"
"AMK","Animas Air Park","Durango"
"AMM","Queen Alia International Airport","Amman"
"AMO","Mao Airport","Mao"
"AMQ","Pattimura Airport, Ambon","Ambon"
"AMS","Amsterdam Airport Schiphol","Amsterdam"
"AMV","Amderma Airport","Amderma"
"ANA","Angama Airport","Maasai Mara"
"ANC","Ted Stevens Anchorage International Airport","Anchorage"
"ANF","Andrés Sabella Gálvez International Airport","Antofagasta"
"ANG","Angoulême-Brie-Champniers Airport","Angoulême/Brie/Champniers"
"ANI","Aniak Airport","Aniak"
"ANN","Annette Island Airport","Annette"
"ANO","Angoche Airport","Angoche"
"ANP","Lee Airport","Annapolis"
"ANR","Antwerp International Airport (Deurne)","Antwerp"
"ANS","Andahuaylas Airport","Andahuaylas"
"ANV","Anvik Airport","Anvik"
"ANW","Ainsworth Regional Airport","Ainsworth"
"ANX","Andøya Airport","Andenes"
"ANY","Anthony Municipal Airport","Anthony"
"ANZ","Angus Downs Airport","Angus Downs Station"
"AOC","Altenburg-Nobitz Airport","Altenburg"
"AOD","Abou-Deïa Airport","Abou-Deïa"
"AOE","Anadolu Airport","Eskişehir"
"AOO","Altoona Blair County Airport","Altoona"
"AOT","Aosta Airport","Aosta"
"AOU","Attopeu Airport","Attopeu"
"APB","Apolo Airport","Apolo"
"APE","San Juan Aposento Airport","San Juan Aposento"
"APH","A P Hill AAF (Fort A P Hill) Airport","Fort A. P. Hill"
"API","Gomez Nino Apiay Air Base","Apiay"
"APK","Apataki Airport","Apataki"
"APL","Nampula Airport","Nampula"
"APQ","Arapiraca Airport","Arapiraca"
"APR","April River Airport","April River"
"APU","Captain João Busse Airport","Apucarana"
"APX","Arapongas Airport","Arapongas"
"APY","Alto Parnaíba Airport","Alto Parnaíba"
"AQB","Santa Cruz del Quiche Airport","Santa Cruz del Quiche"
"AQJ","Aqaba King Hussein International Airport","Aqaba"
"AQM","Nova Vida Airport","Ariquemes"
"ARB","Ann Arbor Municipal Airport","Ann Arbor"
"ARD","Mali Airport","Alor Island"
"ARE","Antonio Nery Juarbe Pol Airport","Arecibo"
"ARH","Talagi Airport","Archangelsk"
"ARI","Chacalluta Airport","Arica"
"ARJ","Arso Airport","Arso-Papua Island"
"ARN","Stockholm-Arlanda Airport","Stockholm"
"ARO","Arboletes Airport","Arboletes"
"ARQ","El Troncal Airport","Arauquita"
"ARR","D. Casimiro Szlapelis Airport","Alto Rio Senguerr"
"ARS","Aragarças Airport","Aragarças"
"ART","Watertown International Airport","Watertown"
"ARU","Araçatuba Airport","Araçatuba"
"ARV","Lakeland-Noble F. Lee Memorial field","Minocqua-Woodruff"
"ASC","Ascención De Guarayos Airport","Ascensión de Guarayos"
"ASE","Aspen-Pitkin Co/Sardy Field","Aspen"
"ASF","Astrakhan Airport","Astrakhan"
"ASJ","Amami Airport","Amami"
"ASN","Talladega Municipal Airport","Talladega"
"ASO","Asosa Airport","Asosa"
"ASP","Alice Springs Airport","Alice Springs"
"ASR","Kayseri Erkilet Airport","Kayseri"
"AST","Astoria Regional Airport","Astoria"
"ASW","Aswan International Airport","Aswan"
"ASX","John F Kennedy Memorial Airport","Ashland"
"ATC","Arthur s Town Airport","Arthur s Town"
"ATE","Antlers Municipal Airport","Antlers"
"ATG","Minhas Air Base","Kamra"
"ATI","Artigas International Airport","Artigas"
"ATJ","Antsirabe Airport","Antsirabe"
"ATK","Atqasuk Edward Burnell Sr Memorial Airport","Atqasuk"
"ATL","Hartsfield Jackson Atlanta International Airport","Atlanta"
"ATN","Namatanai Airport","Namatanai"
"ATO","Ohio University Snyder Field","Athens/Albany"
"ATS","Artesia Municipal Airport","Artesia"
"ATV","Ati Airport","Ati"
"ATX","Atbasar Airport","Atbasar"
"ATY","Watertown Regional Airport","Watertown"
"AUG","Augusta State Airport","Augusta"
"AUH","Abu Dhabi International Airport","Abu Dhabi"
"AUJ","Ambunti Airport","Ambunti"
"AUL","Aur Island Airport","Aur Atoll"
"AUU","Aurukun Airport","Aurukun"
"AUX","Araguaína Airport","Araguaína"
"AUY","Aneityum Airport","Anatom Island"
"AVB","Aviano Air Base","Aviano (PN)"
"AVL","Asheville Regional Airport","Asheville"
"AVN","Avignon-Caumont Airport","Avignon/Caumont"
"AVO","Avon Park Executive Airport","Avon Park"
"AVP","Wilkes Barre Scranton International Airport","Wilkes-Barre/Scranton"
"AVR","Alverca Air Base","Vila Franca de Xira"
"AVV","Avalon Airport","Melbourne"
"AWB","Awaba Airport","Awaba"
"AWD","Aniwa Airport","Aniwa"
"AWE","Alowe Airport","Wonga Wongué Presidential Reserve"
"AWK","Wake Island Airfield","Wake Island"
"AWZ","Ahwaz Airport","Ahwaz"
"AXD","Dimokritos Airport","Alexandroupolis"
"AXE","Xanxerê Airport","Xanxerê"
"AXM","El Eden Airport","Armenia"
"AXS","Altus Quartz Mountain Regional Airport","Altus"
"AXT","Akita Airport","Akita"
"AYD","Alroy Downs Airport","Alroy Downs"
"AYK","Arkalyk North Airport","Arkalyk"
"AYT","Antalya International Airport","Antalya"
"AYU","Aiyura Airport","Aiyura Valley"
"AZA","Phoenix-Mesa-Gateway Airport","Phoenix"
"AZL","Fazenda Tucunaré Airport","Sapezal"
"AZO","Kalamazoo Battle Creek International Airport","Kalamazoo"
"BAA","Bialla Airport","Bialla, Matalilu, Ewase"
"BAF","Westfield-Barnes Regional Airport","Westfield/Springfield"
"BAG","Loakan Airport","Baguio City"
"BAJ","Bali Airport","Unea Island"
"BAM","Battle Mountain Airport","Battle Mountain"
"BAN","Basongo Airport","Basongo"
"BAO","Udorn Air Base","Ban Mak Khaen"
"BAU","Bauru Airport","Bauru"
"BAX","Barnaul Airport","Barnaul"
"BAY","Maramureș International Airport","Baia Mare"
"BBA","Balmaceda Airport","Balmaceda"
"BBD","Curtis Field","Brady"
"BBI","Biju Patnaik Airport","Bhubaneswar"
"BBJ","Bitburg Airport","Bitburg"
"BBN","Bario Airport","Bario"
"BBO","Berbera Airport","Berbera"
"BBP","Bembridge Airport","Bembridge"
"BBR","Baillif Airport","Basse Terre"
"BBS","Blackbushe Airport","Yateley"
"BBT","Berbérati Airport","Berbérati"
"BBU","Băneasa International Airport","Bucharest"
"BBY","Bambari Airport","Bambari"
"BBZ","Zambezi Airport","Zambezi"
"BCA","Gustavo Rizo Airport","Baracoa"
"BCF","Bouca Airport","Bouca"
"BCG","Bemichi Airport","Bemichi"
"BCM","Bacău Airport","Bacău"
"BCN","Barcelona International Airport","Barcelona"
"BCP","Bambu Airport","Bambu"
"BCW","Benguera Island Airport","Benguera Island"
"BCX","Beloretsk Airport","Beloretsk"
"BDB","Bundaberg Airport","Bundaberg"
"BDH","Bandar Lengeh Airport","Bandar Lengeh"
"BDI","Bird Island Airport","Bird Island"
"BDJ","Syamsudin Noor Airport","Banjarmasin-Borneo Island"
"BDK","Soko Airport","Bondoukou"
"BDN","Talhar Airport","Badin"
"BDO","Husein Sastranegara International Airport","Bandung-Java Island"
"BDP","Bhadrapur Airport","Bhadrapur"
"BDU","Bardufoss Airport","Målselv"
"BDX","Broadus Airport","Broadus"
"BEC","Beech Factory Airport","Wichita"
"BED","Laurence G Hanscom Field","Bedford"
"BEH","Southwest Michigan Regional Airport","Benton Harbor"
"BEI","Beica Airport","Beica"
"BEJ","Kalimarau Airport","Tanjung Redeb - Borneo Island"
"BEL","Val de Cans/Júlio Cezar Ribeiro International Airp","Belém"
"BEM","Beni Mellal Airport","Beni Mellal"
"BEP","Bellary Airport","Bellary"
"BEV","Beersheba (Teyman) Airport","Beersheba"
"BEW","Beira Airport","Beira"
"BFA","Bahía Negra Airport","Bahía Negra"
"BFE","Bielefeld Airport","Bielefeld"
"BFF","Western Neb. Rgnl/William B. Heilig Airport","Scottsbluff"
"BFG","Bullfrog Basin Airport","Glen Canyon Natl Rec Area"
"BFI","Boeing Field King County International Airport","Seattle"
"BFJ","Bijie Feixiong Airport","Bijie"
"BFL","Meadows Field","Bakersfield"
"BFR","Virgil I Grissom Municipal Airport","Bedford"
"BFS","Belfast International Airport","Belfast"
"BFX","Bafoussam Airport","Bafoussam"
"BGA","Palonegro Airport","Bucaramanga"
"BGB","Booue Airport","Booue"
"BGH","Abbaye Airport","Boghe"
"BGK","Big Creek Airport","Big Creek"
"BGL","Baglung Airport","Baglung"
"BGN","Belaya Gora Airport","Belaya Gora"
"BGP","Bongo Airport","Bongo"
"BGU","Bangassou Airport","Bangassou"
"BGV","Aeroclube de Bento Gonçalves Airport","Bento Gonçalves"
"BGW","Baghdad International Airport","Baghdad"
"BGY","Il Caravaggio International Airport","Bergamo"
"BGZ","Braga Municipal Aerodrome","Braga"
"BHA","Los Perales Airport","Bahía de Caraquez"
"BHC","Bhurban Heliport","Bhurban"
"BHD","George Best Belfast City Airport","Belfast"
"BHG","Brus Laguna Airport","Brus Laguna"
"BHK","Bukhara Airport","Bukhara"
"BHP","Bhojpur Airport","Bhojpur"
"BHQ","Broken Hill Airport","Broken Hill"
"BHR","Bharatpur Airport","Bharatpur"
"BHU","Bhavnagar Airport","Bhavnagar"
"BIK","Frans Kaisiepo Airport","Biak-Supiori Island"
"BIN","Bamiyan Airport","Bamiyan"
"BIQ","Biarritz-Anglet-Bayonne Airport","Biarritz/Anglet/Bayonne"
"BIT","Baitadi Airport","Baitadi"
"BIY","Bisho Airport","Bisho"
"BJB","Bojnord Airport","Bojnord"
"BJE","Baleela Airport","Baleela Base Camp"
"BJF","Båtsfjord Airport","Båtsfjord"
"BJH","Bajhang Airport","Bajhang"
"BJI","Bemidji Regional Airport","Bemidji"
"BJJ","Wayne County Airport","Wooster"
"BJM","Bujumbura International Airport","Bujumbura"
"BJO","Bermejo Airport","Bermejo"
"BJP","Estadual Arthur Siqueira Airport","Bragança Paulista"
"BJQ","Bahja Airport","Bahja"
"BJR","Bahir Dar Airport","Bahir Dar"
"BJX","Del Bajío International Airport","Silao"
"BJY","Batajnica Air Base","Batajnica"
"BJZ","Badajoz Airport","Badajoz"
"BKB","Nal Airport","Bikaner"
"BKG","Branson Airport","Branson"
"BKI","Kota Kinabalu International Airport","Kota Kinabalu"
"BKK","Suvarnabhumi Airport","Bangkok"
"BKL","Burke Lakefront Airport","Cleveland"
"BKM","Bakalalan Airport","Bakalalan"
"BKS","Fatmawati Soekarno Airport","Bengkulu-Sumatra Island"
"BKU","Betioky Airport","Betioky"
"BKW","Raleigh County Memorial Airport","Beckley"
"BKX","Brookings Regional Airport","Brookings"
"BLA","General José Antonio Anzoategui International Airp","Barcelona"
"BLB","Panama Pacific International Airport","Panama City"
"BLF","Mercer County Airport","Bluefield"
"BLJ","Batna Airport","Batna"
"BLK","Blackpool International Airport","Blackpool"
"BLL","Billund Airport","Billund"
"BLQ","Bologna Guglielmo Marconi Airport","Bologna"
"BLR","Kempegowda International Airport","Bangalore"
"BLY","Belmullet Aerodrome","Belmullet"
"BMA","Stockholm-Bromma Airport","Stockholm"
"BMF","Bakouma Airport","Bakouma"
"BMG","Monroe County Airport","Bloomington"
"BMH","Bomai Airport","Bomai"
"BMM","Bitam Airport","Bitam"
"BMN","Bamarni Airport","Bamarni"
"BMR","Baltrum Airport","Baltrum"
"BMS","Sócrates Mariani Bittencourt Airport","Brumado"
"BMU","Muhammad Salahuddin Airport","Bima-Sumbawa Island"
"BMV","Buon Ma Thuot Airport","Buon Ma Thuot"
"BMW","Bordj Badji Mokhtar Airport","Bordj Badji Mokhtar"
"BMY","Île Art - Waala Airport","Waala"
"BNA","Nashville International Airport","Nashville"
"BNG","Banning Municipal Airport","Banning"
"BNI","Benin Airport","Benin"
"BNK","Ballina Byron Gateway Airport","Ballina"
"BNN","Brønnøysund Airport","Brønnøy"
"BNO","Burns Municipal Airport","Burns"
"BNP","Bannu Airport","Bannu"
"BNR","Banfora Airport","Banfora"
"BNS","Barinas Airport","Barinas"
"BNT","Bundi Airport","Bundi"
"BNW","Boone Municipal Airport","Boone"
"BOB","Bora Bora Airport","Motu Mute"
"BOD","Bordeaux-Mérignac Airport","Bordeaux/Mérignac"
"BOE","Boundji Airport","Boundji"
"BOH","Bournemouth Airport","Bournemouth"
"BOI","Boise Air Terminal/Gowen Field","Boise"
"BOK","Brookings Airport","Brookings"
"BOP","Bouar Airport","Bouar"
"BOU","Bourges Airport","Bourges"
"BPC","Bamenda Airport","Bamenda"
"BPE","Qinhuangdao Beidaihe Airport","Qinhuangdao"
"BPG","Barra do Garças Airport","Barra Do Garças"
"BPI","Miley Memorial Field","Big Piney"
"BPK","Biangabip Airport","Biangabip"
"BPM","Begumpet Airport","Hyderabad"
"BQA","Dr.Juan C. Angara Airport","Baler"
"BQE","Bubaque Airport","Bubaque"
"BQJ","Batagay Airport","Batagay"
"BQK","Brunswick Golden Isles Airport","Brunswick"
"BQN","Rafael Hernandez Airport","Aguadilla"
"BQO","Bouna Airport","Bouna"
"BQT","Brest Airport","Brest"
"BQW","Balgo Hill Airport","Balgo"
"BRA","Barreiras Airport","Barreiras"
"BRC","San Carlos De Bariloche Airport","San Carlos de Bariloche"
"BRO","Brownsville South Padre Island International Airpo","Brownsville"
"BRP","Biaru Airport","Biaru"
"BRR","Barra Airport","Eoligarry"
"BRS","Bristol Airport","Bristol"
"BRW","Wiley Post Will Rogers Memorial Airport","Utqiaġvik"
"BRY","Samuels Field","Bardstown"
"BSE","Sematan Airport","Sematan"
"BSI","Balesin Island Airport","Balesin"
"BSL","EuroAirport Basel-Mulhouse-Freiburg Airport","Bâle/Mulhouse"
"BSN","Bossangoa Airport","Bossangoa"
"BSO","Basco Airport","Basco"
"BSU","Basankusu Airport","Basankusu"
"BSV","Besakoa Airport","Besakoa"
"BSW","Boswell Bay Airport","Boswell Bay"
"BSX","Pathein Airport","Pathein"
"BTA","Bertoua Airport","Bertoua"
"BTB","Betou Airport","Betou"
"BTF","Skypark Airport","Bountiful"
"BTG","Batangafo Airport","Batangafo"
"BTM","Bert Mooney Airport","Butte"
"BTN","Marlboro County Jetport H.E. Avent Field","Bennettsville"
"BTR","Baton Rouge Metropolitan Airport","Baton Rouge"
"BTT","Bettles Airport","Bettles"
"BTU","Bintulu Airport","Bintulu"
"BTZ","Bursa Airport","Bursa"
"BUA","Buka Airport","Buka Island"
"BUB","Cram Field","Burwell"
"BUF","Buffalo Niagara International Airport","Buffalo"
"BUI","Bokondini Airport","Bokondini"
"BUO","Burao Airport","Burao"
"BUR","Bob Hope Airport","Burbank"
"BUT","Bathpalathang Airport","Jakar"
"BUU","Muara Bungo Airport","Muara Bungo"
"BUV","Bella Union Airport","Bella Union"
"BUW","Betoambari Airport","Bau Bau-Butung Island"
"BUZ","Bushehr Airport","Bushehr"
"BVB","Atlas Brasil Cantanhede Airport","Boa Vista"
"BVC","Rabil Airport","Rabil"
"BVH","Brigadeiro Camarão Airport","Vilhena"
"BVV","Burevestnik Airport","Iturup Island"
"BVY","Beverly Municipal Airport","Beverly"
"BWC","Brawley Municipal Airport","Brawley"
"BWD","Brownwood Regional Airport","Brownwood"
"BWF","Barrow Walney Island Airport","Barrow-in-Furness"
"BWG","Bowling Green Warren County Regional Airport","Bowling Green"
"BWH","Butterworth Airport","Butterworth"
"BWI","Baltimore/Washington International Thurgood Marsha","Baltimore"
"BWL","Earl Henry Airport","Blackwell"
"BWN","Brunei International Airport","Bandar Seri Begawan"
"BXB","Babo Airport","Babo-Papua Island"
"BXE","Bakel Airport","Bakel"
"BXI","Boundiali Airport","Boundiali"
"BXK","Buckeye Municipal Airport","Buckeye"
"BXS","Borrego Valley Airport","Borrego Springs"
"BXT","Bontang Airport","Bontang-Borneo Island"
"BXU","Bancasi Airport","Butuan City"
"BXZ","Bunsil Airport","Bunsil - Umboi Island"
"BYB","Dibba Airport","Dibba Al-Baya"
"BYC","Yacuiba Airport","Yacuíba"
"BYF","Albert-Bray Airport","Albert/Bray"
"BYG","Johnson County Airport","Buffalo"
"BYH","Arkansas International Airport","Blytheville"
"BZB","Bazaruto Island Airport","Bazaruto Island"
"BZC","Umberto Modiano Airport","Cabo Frio"
"BZE","Philip S. W. Goldson International Airport","Belize City"
"BZF","Benton Field","Redding"
"BZG","Bydgoszcz Ignacy Jan Paderewski Airport","Bydgoszcz"
"BZK","Bryansk Airport","Bryansk"
"BZL","Barisal Airport","Barisal"
"BZM","Bemolanga Airport","Bemolanga"
"BZN","Gallatin Field","Bozeman"
"BZO","Bolzano Airport","Bolzano"
"BZP","Bizant Airport","Lakefield National Park"
"BZV","Maya-Maya Airport","Brazzaville"
"BZX","Bazhong Enyang Airport","Bazhong"
"BZY","Bălți International Airport","Bălți"
"CAA","Catacamas Airport","Catacamas"
"CAB","Cabinda Airport","Cabinda"
"CAH","Cà Mau Airport","Ca Mau City"
"CAI","Cairo International Airport","Cairo"
"CAJ","Canaima Airport","Canaima"
"CAK","Akron Canton Regional Airport","Akron"
"CAL","Campbeltown Airport","Campbeltown"
"CAN","Guangzhou Baiyun International Airport","Guangzhou"
"CAO","Clayton Municipal Airpark","Clayton"
"CAP","Cap Haitien International Airport","Cap Haitien"
"CAR","Caribou Municipal Airport","Caribou"
"CAT","Cascais Airport","Cascais"
"CAU","Caruaru Airport","Caruaru"
"CAV","Cazombo Airport","Cazombo"
"CAW","Bartolomeu Lisandro Airport","Campos Dos Goytacazes"
"CBG","Cambridge Airport","Cambridge"
"CBJ","Cabo Rojo Airport","Cabo Rojo"
"CBK","Shalz Field","Colby"
"CBN","Penggung Airport","Cirebon-Java Island"
"CBO","Awang Airport","Cotabato City"
"CBQ","Margaret Ekpo International Airport","Calabar"
"CBS","Oro Negro Airport","Cabimas"
"CBT","Catumbela Airport","Catumbela"
"CBU","Cottbus-Drewitz Airport","Cottbus"
"CBV","Coban Airport","Coban"
"CBY","Canobie Airport","Canobie"
"CCA","Chimore Airport","Chimore"
"CCC","Jardines Del Rey Airport","Cayo Coco"
"CCF","Carcassonne Airport","Carcassonne/Salvaza"
"CCG","Crane County Airport","Crane"
"CCH","Chile Chico Airport","Chile Chico"
"CCI","Concórdia Airport","Concordia"
"CCJ","Calicut International Airport","Calicut"
"CCK","Cocos (Keeling) Islands Airport","Cocos (Keeling) Islands"
"CCR","Buchanan Field","Concord"
"CCU","Netaji Subhash Chandra Bose International Airport","Kolkata"
"CCX","Cáceres Airport","Cáceres"
"CDE","Chengde Puning Airport","Chengde"
"CDG","Charles de Gaulle International Airport","Paris"
"CDI","Cachoeiro do Itapemirim Airport","Cachoeiro Do Itapemirim"
"CDJ","Conceição do Araguaia Airport","Conceição Do Araguaia"
"CDO","Cradock Airport","Cradock"
"CDR","Chadron Municipal Airport","Chadron"
"CDS","Childress Municipal Airport","Childress"
"CDT","Castellón-Costa Azahar Airport","Castellón de la Plana"
"CDV","Merle K (Mudhole) Smith Airport","Cordova"
"CDY","Cagayan de Sulu Airport","Mapun"
"CEA","Cessna Aircraft Field","Wichita"
"CEC","Jack Mc Namara Field Airport","Crescent City"
"CEE","Cherepovets Airport","Cherepovets"
"CEK","Chelyabinsk Balandino Airport","Chelyabinsk"
"CEM","Central Airport","Central"
"CER","Cherbourg-Maupertus Airport","Cherbourg/Maupertus"
"CEU","Oconee County Regional Airport","Clemson"
"CEW","Bob Sikes Airport","Crestview"
"CEX","Chena Hot Springs Airport","Chena Hot Springs"
"CFB","Cabo Frio Airport","Cabo Frio"
"CFC","Caçador Airport","Caçador"
"CFD","Coulter Field","Bryan"
"CFE","Clermont-Ferrand Auvergne Airport","Clermont-Ferrand/Auvergne"
"CFF","Cafunfo Airport","Cafunfo"
"CFH","Clifton Hills Airport","Clifton Hills"
"CFM","Conklin (Leismer) Airport","Conklin"
"CFN","Donegal Airport","Donegal"
"CFP","Carpentaria Downs Airport","Carpentaria Downs"
"CFQ","Creston Valley Regional Airport - Art Sutcliffe Fi","Creston"
"CFS","Coffs Harbour Airport","Coffs Harbour"
"CFT","Greenlee County Airport","Clifton/Morenci"
"CFV","Coffeyville Municipal Airport","Coffeyville"
"CGC","Cape Gloucester Airport","Cape Gloucester"
"CGD","Changde Airport","Changde"
"CGE","Cambridge Dorchester Airport","Cambridge"
"CGF","Cuyahoga County Airport","Cleveland"
"CGG","Casiguran Airport","Casiguran"
"CGH","Congonhas Airport","São Paulo"
"CGK","Soekarno-Hatta International Airport","Jakarta"
"CGN","Cologne Bonn Airport","Cologne"
"CGO","Zhengzhou Xinzheng International Airport","Zhengzhou"
"CGQ","Longjia Airport","Changchun"
"CGY","Laguindingan Airport","Cagayan de Oro City"
"CGZ","Casa Grande Municipal Airport","Casa Grande"
"CHA","Lovell Field","Chattanooga"
"CHH","Chachapoyas Airport","Chachapoyas"
"CHK","Chickasha Municipal Airport","Chickasha"
"CHL","Challis Airport","Challis"
"CHN","Jeon Ju Airport (G-703)","Jeon Ju"
"CHO","Charlottesville Albemarle Airport","Charlottesville"
"CHQ","Chania International Airport","Souda"
"CHR","Châteauroux-Déols ""Marcel Dassault"" Airport","Châteauroux/Déols"
"CHU","Chuathbaluk Airport","Chuathbaluk"
"CHX","Cap Manuel Niño International Airport","Changuinola"
"CHZ","Chiloquin State Airport","Chiloquin"
"CIC","Chico Municipal Airport","Chico"
"CIF","Chifeng Airport","Chifeng"
"CIG","Craig Moffat Airport","Craig"
"CII","Çıldır Airport","Aydın"
"CIK","Chalkyitsik Airport","Chalkyitsik"
"CIL","Council Airport","Council"
"CIM","Cimitarra Airport","Cimitarra"
"CIN","Arthur N Neu Airport","Carroll"
"CIP","Chipata Airport","Chipata"
"CIR","Cairo Regional Airport","Cairo"
"CIU","Chippewa County International Airport","Sault Ste Marie"
"CIW","Canouan Airport","Canouan"
"CIZ","Coari Airport","Coari"
"CJA","Mayor General FAP Armando Revoredo Iglesias Airpor","Cajamarca"
"CJF","Coondewanna Airport","Coondewanna"
"CJH","Chilko Lake (Tsylos Park Lodge) Airport","Chilko Lake"
"CJL","Chitral Airport","Chitral"
"CJS","Abraham González International Airport","Ciudad Juárez"
"CJT","San Antonio Copalar Airport","Comitán"
"CJU","Jeju International Airport","Jeju City"
"CKD","Crooked Creek Airport","Crooked Creek"
"CKG","Chongqing Jiangbei International Airport","Chongqing"
"CKH","Chokurdakh Airport","Chokurdah"
"CKN","Crookston Municipal Kirkwood Field","Crookston"
"CKO","Cornélio Procópio Airport","Cornélio Procópio"
"CKS","Carajás Airport","Parauapebas"
"CKT","Sarakhs Airport","Sarakhs"
"CKU","Cordova Municipal Airport","Cordova"
"CKV","Clarksville–Montgomery County Regional Airport","Clarksville"
"CKX","Chicken Airport","Chicken"
"CKY","Conakry International Airport","Conakry"
"CKZ","Çanakkale Airport","Çanakkale"
"CLA","Comilla Airport","Comilla"
"CLE","Cleveland Hopkins International Airport","Cleveland"
"CLJ","Cluj-Napoca International Airport","Cluj-Napoca"
"CLK","Clinton Regional Airport","Clinton"
"CLL","Easterwood Field","College Station"
"CLT","Charlotte Douglas International Airport","Charlotte"
